Make,total_accidents,total_fatalities,fatality_rate
STINSON,80,5.0,0.0625
AVIAT AIRCRAFT INC,57,5.0,0.08771929824561403
BOEING,79,7.0,0.08860759493670886
MAULE,124,14.0,0.11290322580645161
TAYLORCRAFT,51,7.0,0.13725490196078433
LUSCOMBE,84,13.0,0.15476190476190477
AERONCA,116,21.0,0.1810344827586207
CHAMPION,74,15.0,0.20270270270270271
BELLANCA,127,27.0,0.2125984251968504
CESSNA,2820,829.0,0.29397163120567377
PIPER,1844,677.0,0.36713665943600865
Vans,59,25.0,0.423728813559322
Cessna,1528,651.0,0.4260471204188482
Bellanca,63,28.0,0.4444444444444444
Piper,929,443.0,0.47685683530678147
Mooney,108,54.0,0.5
NORTH AMERICAN,62,31.0,0.5
MOONEY,199,108.0,0.542713567839196
BEECH,687,418.0,0.6084425036390102
Beech,377,230.0,0.610079575596817
CIRRUS DESIGN CORP,161,103.0,0.639751552795031
